Cleaned by,STUDY_ID,STUDY_PLOT,LATITUDE,LONGITUDE,GENERAL_TREAT_raw,TREATMENT_raw,TREAT_COMMENTS,TREAT_DATE,treatment_yn_Sam,treatment_descr_Sam,treatment_simplified_Sam,treatment_yn_clean,treatment_type_clean,treatment_descr_clean,plot or site level,TREAT_DATE,NOTES,PROTECTED_AREA,TITLE,HAS_PLOT,DATA_POINTS,START_YEAR,END_YEAR,NUMBER_OF_SPECIES,NUMBER_OF_SAMPLES,WEB_LINK,NEW_WEB_LINK,METHODS,SUMMARY_METHODS,LINK_ID,COMMENTS,SAMPLE_DESC_NAME,detectability
Ally,18,18~1,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,No,No grazing,Most of the quadrats (18 of 26 total) are located in small fenced areas in which grazing was excluded.,Plot level,NA,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~11,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~12,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~13,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~14,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~15,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~16,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~17,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~18,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,Yes,Grazing,Sheep grazing occuring in 8 quadrants located in 1 of 5 paddlocks,Plot level,1923-1996,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
Ally,18,18~19,44.33,-112.33,NA,NA,NA,NA,NA,NA,NA,No,No grazing,Most of the quadrats (18 of 26 total) are located in small fenced areas in which grazing was excluded.,Plot level,NA,permanent quadrats were located in both grazed and ungrazed units. The two grazed paddocks contain four quadrats each. The four ungrazed units contain a total of 18 quadrats (anywhere from 4 to 6 quadrats per exclosure).,FALSE,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Y,29,1923,1973,98,542,http://esapubs.org/archive/ecol/E091/243/default.htm,NA,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,NA,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,lat_long_quadrat_year,NA
