"","genus_1","genus_2","char"
"1","Colaptes","Rhus","eats"
"2","Colaptes","Solanum","eats"
"3","Colaptes","Ulmus","interactsWith"
"4","Colaptes","Ulmus","visitsFlowersOf"
"5","Colaptes","Cornus","eats"
"6","Colaptes","Cornus","mutualistOf"
"7","Colaptes","Cornus","dispersalVectorOf"
"8","Colaptes","Croton","eats"
"9","Colaptes","Prunus","eats"
"10","Colaptes","Prunus","mutualistOf"
"11","Colaptes","Prunus","dispersalVectorOf"
"12","Ambrosia","Colinus","eatenBy"
"13","Carex","Colinus","eatenBy"
"14","Colinus","Cyperus","eats"
"15","Colinus","Descurainia","eats"
"16","Colinus","Desmodium","eats"
"17","Colinus","Dichanthelium","eats"
"18","Colinus","Digitaria","eats"
"19","Colinus","Geranium","eats"
"20","Colinus","Lespedeza","eats"
"21","Colinus","Mimosa","eats"
"22","Colinus","Oxalis","eats"
"23","Colinus","Panicum","eats"
"24","Colinus","Pediomelum","eats"
"25","Colinus","Physalis","eats"
"26","Colinus","Psoralea","eats"
"27","Colinus","Rhus","eats"
"28","Colinus","Verbena","eats"
"29","Colinus","Vicia","eats"
"30","Colinus","Viola","eats"
"31","Colinus","Setaria","eats"
"32","Celtis","Colinus","eatenBy"
"33","Colinus","Polygonum","eats"
"34","Colinus","Croton","eats"
"35","Colinus","Helianthus","eats"
"36","Colinus","Prunus","eats"
"37","Colinus","Rubus","eats"
"38","Colinus","Strophostyles","eats"
"39","Colinus","Desmanthus","eats"
"40","Contopus","Panicum","eats"
"41","Contopus","Ulmus","visitsFlowersOf"
"42","Contopus","Cornus","eats"
"43","Contopus","Rubus","eats"
"44","Contopus","Toxicodendron","eats"
"45","Ambrosia","Corvus","eatenBy"
"46","Bromus","Corvus","eatenBy"
"47","Cirsium","Corvus","eatenBy"
"48","Cirsium","Corvus","interactsWith"
"49","Corvus","Cyperus","eats"
"50","Corvus","Desmodium","eats"
"51","Corvus","Echinacea","preysOn"
"52","Corvus","Echinacea","eats"
"53","Corvus","Euphorbia","eats"
"54","Corvus","Hordeum","eats"
"55","Corvus","Physalis","eats"
"56","Corvus","Rhus","eats"
"57","Corvus","Rosa","eats"
"58","Corvus","Solanum","eats"
"59","Corvus","Symphoricarpos","eats"
"60","Corvus","Ulmus","interactsWith"
