"","Gn1","Gn2","interaction"
"1","Achnatherum","Antennaria","interactsWith"
"2","Achnatherum","Arnica","interactsWith"
"3","Achnatherum","Artemisia","interactsWith"
"4","Achnatherum","Carex","interactsWith"
"5","Achnatherum","Poa","interactsWith"
"6","Antennaria","Arnica","interactsWith"
"7","Antennaria","Artemisia","interactsWith"
"8","Antennaria","Astragalus","interactsWith"
"9","Antennaria","Carex","interactsWith"
"10","Antennaria","Castilleja","adjacentTo"
"11","Antennaria","Castilleja","interactsWith"
"12","Antennaria","Elymus","interactsWith"
"13","Antennaria","Erigeron","interactsWith"
"14","Antennaria","Lupinus","interactsWith"
"15","Antennaria","Poa","interactsWith"
"16","Antennaria","Senecio","interactsWith"
"17","Arabis","Artemisia","interactsWith"
"18","Arabis","Carex","interactsWith"
"19","Arabis","Elymus","interactsWith"
"20","Arabis","Erigeron","interactsWith"
"21","Arabis","Lomatium","interactsWith"
"22","Arabis","Lupinus","interactsWith"
"23","Arabis","Phlox","pollinates"
"24","Arabis","Phlox","mutualistOf"
"25","Arabis","Phlox","pathogenOf"
"26","Arabis","Poa","interactsWith"
"27","Arabis","Pseudoroegneria","interactsWith"
"28","Arabis","Senecio","pollinates"
"29","Arnica","Artemisia","interactsWith"
"30","Arnica","Carex","flowersVisitedBy"
"31","Arnica","Carex","interactsWith"
"32","Arnica","Castilleja","interactsWith"
"33","Arnica","Elymus","interactsWith"
"34","Arnica","Erigeron","interactsWith"
"35","Arnica","Lupinus","interactsWith"
"36","Arnica","Phlox","interactsWith"
"37","Arnica","Poa","interactsWith"
"38","Arnica","Pseudoroegneria","interactsWith"
"39","Arnica","Senecio","interactsWith"
"40","Artemisia","Astragalus","interactsWith"
"41","Artemisia","Carex","interactsWith"
"42","Artemisia","Castilleja","interactsWith"
"43","Artemisia","Crepis","interactsWith"
"44","Artemisia","Elymus","interactsWith"
"45","Artemisia","Erigeron","interactsWith"
"46","Artemisia","Eriogonum","interactsWith"
"47","Artemisia","Eriogonum","adjacentTo"
"48","Artemisia","Lupinus","interactsWith"
"49","Artemisia","Penstemon","interactsWith"
"50","Artemisia","Phlox","interactsWith"
"51","Artemisia","Poa","interactsWith"
"52","Artemisia","Pseudoroegneria","interactsWith"
"53","Artemisia","Senecio","interactsWith"
"54","Artemisia","Zigadenus","interactsWith"
"55","Astragalus","Carex","interactsWith"
"56","Astragalus","Castilleja","interactsWith"
"57","Astragalus","Crepis","interactsWith"
"58","Astragalus","Elymus","interactsWith"
"59","Astragalus","Erigeron","interactsWith"
"60","Astragalus","Phlox","interactsWith"
"61","Astragalus","Poa","interactsWith"
"62","Astragalus","Poa","adjacentTo"
"63","Carex","Castilleja","interactsWith"
"64","Carex","Crepis","interactsWith"
"65","Carex","Elymus","interactsWith"
"66","Carex","Elymus","adjacentTo"
"67","Carex","Erigeron","interactsWith"
"68","Carex","Erigeron","visitsFlowersOf"
"69","Carex","Hesperostipa","interactsWith"
"70","Carex","Lupinus","interactsWith"
"71","Carex","Phlox","interactsWith"
"72","Carex","Poa","interactsWith"
"73","Carex","Poa","adjacentTo"
"74","Carex","Pseudoroegneria","interactsWith"
"75","Carex","Senecio","visitsFlowersOf"
"76","Carex","Senecio","interactsWith"
"77","Carex","Zigadenus","visitsFlowersOf"
"78","Carex","Zigadenus","interactsWith"
"79","Castilleja","Erigeron","interactsWith"
"80","Castilleja","Eriogonum","hasHost"
"81","Castilleja","Lupinus","interactsWith"
"82","Castilleja","Phlox","interactsWith"
"83","Castilleja","Poa","interactsWith"
"84","Castilleja","Senecio","interactsWith"
"85","Crepis","Elymus","interactsWith"
"86","Crepis","Poa","interactsWith"
"87","Elymus","Erigeron","interactsWith"
"88","Elymus","Penstemon","interactsWith"
"89","Elymus","Phlox","interactsWith"
"90","Elymus","Poa","interactsWith"
"91","Elymus","Poa","adjacentTo"
"92","Elymus","Pseudoroegneria","interactsWith"
"93","Elymus","Senecio","interactsWith"
"94","Elymus","Zigadenus","interactsWith"
"95","Erigeron","Eriogonum","interactsWith"
"96","Erigeron","Lupinus","interactsWith"
"97","Erigeron","Phlox","interactsWith"
"98","Erigeron","Poa","interactsWith"
"99","Erigeron","Senecio","interactsWith"
"100","Eriogonum","Lupinus","interactsWith"
"101","Eriogonum","Purshia","interactsWith"
"102","Gutierrezia","Penstemon","interactsWith"
"103","Lupinus","Phlox","interactsWith"
"104","Lupinus","Poa","interactsWith"
"105","Lupinus","Poa","eats"
"106","Lupinus","Poa","hasHost"
"107","Lupinus","Senecio","interactsWith"
"108","Penstemon","Phlox","interactsWith"
"109","Penstemon","Pseudoroegneria","interactsWith"
"110","Penstemon","Purshia","interactsWith"
"111","Penstemon","Zigadenus","interactsWith"
"112","Phlox","Poa","interactsWith"
"113","Poa","Pseudoroegneria","interactsWith"
"114","Pseudoroegneria","Zigadenus","interactsWith"
"115","Accipiter","Agelaius","interactsWith"
"116","Accipiter","Agelaius","eats"
"117","Accipiter","Agelaius","preysOn"
"118","Accipiter","Aimophila","interactsWith"
"119","Accipiter","Aimophila","eats"
"120","Accipiter","Amphispiza","eats"
"121","Accipiter","Anthus","eats"
"122","Accipiter","Anthus","preysOn"
"123","Accipiter","Aphelocoma","interactsWith"
"124","Accipiter","Aphelocoma","eats"
"125","Accipiter","Aquila","eatenBy"
"126","Accipiter","Aquila","preyedUponBy"
"127","Accipiter","Archilochus","interactsWith"
"128","Accipiter","Asio","eats"
"129","Accipiter","Asio","interactsWith"
"130","Accipiter","Auriparus","interactsWith"
"131","Accipiter","Auriparus","eats"
"132","Accipiter","Baeolophus","interactsWith"
"133","Accipiter","Baeolophus","eats"
"134","Accipiter","Baeolophus","preysOn"
"135","Accipiter","Bombycilla","interactsWith"
"136","Accipiter","Bombycilla","eats"
"137","Accipiter","Bombycilla","preysOn"
"138","Accipiter","Bonasa","eats"
"139","Accipiter","Bonasa","interactsWith"
"140","Accipiter","Bonasa","preysOn"
"141","Accipiter","Bubo","interactsWith"
"142","Accipiter","Bubo","eatenBy"
"143","Accipiter","Bubo","eats"
"144","Accipiter","Bubulcus","eats"
"145","Accipiter","Bubulcus","interactsWith"
"146","Accipiter","Buteo","eatenBy"
"147","Accipiter","Buteo","preyedUponBy"
"148","Accipiter","Buteo","interactsWith"
"149","Accipiter","Calcarius","eats"
"150","Accipiter","Callipepla","eats"
"151","Accipiter","Cardellina","eats"
"152","Accipiter","Cardinalis","interactsWith"
"153","Accipiter","Cardinalis","eats"
"154","Accipiter","Cardinalis","preysOn"
"155","Accipiter","Carduelis","interactsWith"
"156","Accipiter","Carduelis","eats"
"157","Accipiter","Carpodacus","interactsWith"
"158","Accipiter","Carpodacus","eats"
"159","Accipiter","Catharus","interactsWith"
"160","Accipiter","Catharus","eats"
"161","Accipiter","Certhia","eats"
"162","Accipiter","Chaetura","preysOn"
"163","Accipiter","Chondestes","eats"
"164","Accipiter","Chordeiles","eats"
"165","Accipiter","Circus","interactsWith"
"166","Accipiter","Circus","eats"
"167","Accipiter","Cistothorus","eats"
"168","Accipiter","Cistothorus","preysOn"
"169","Accipiter","Coccyzus","eats"
"170","Accipiter","Colaptes","interactsWith"
"171","Accipiter","Colaptes","eats"
"172","Accipiter","Colaptes","preysOn"
"173","Accipiter","Colinus","interactsWith"
"174","Accipiter","Colinus","eats"
"175","Accipiter","Colinus","preysOn"
"176","Accipiter","Columba","preysOn"
"177","Accipiter","Columba","preyedUponBy"
"178","Accipiter","Columba","interactsWith"
"179","Accipiter","Columba","eats"
"180","Accipiter","Columbina","eats"
"181","Accipiter","Columbina","preysOn"
"182","Accipiter","Contopus","eats"
"183","Accipiter","Corvus","interactsWith"
"184","Accipiter","Corvus","eats"
"185","Accipiter","Corvus","preysOn"
"186","Accipiter","Corvus","eatenBy"
"187","Accipiter","Cyanocitta","eats"
"188","Accipiter","Cyanocitta","preysOn"
"189","Accipiter","Dendragapus","eats"
"190","Accipiter","Dendroica","interactsWith"
"191","Accipiter","Dendroica","eats"
"192","Accipiter","Dendroica","preysOn"
"193","Accipiter","Dolichonyx","eats"
"194","Accipiter","Dryocopus","eats"
"195","Accipiter","Dumetella","interactsWith"
"196","Accipiter","Dumetella","eats"
"197","Accipiter","Dumetella","preysOn"
"198","Accipiter","Elanus","eats"
"199","Accipiter","Empidonax","interactsWith"
"200","Accipiter","Empidonax","eats"
"201","Accipiter","Eremophila","eats"
"202","Accipiter","Falco","interactsWith"
"203","Accipiter","Falco","eats"
"204","Accipiter","Falco","preysOn"
"205","Accipiter","Falco","preyedUponBy"
"206","Accipiter","Geococcyx","interactsWith"
"207","Accipiter","Geococcyx","eats"
"208","Accipiter","Geococcyx","preysOn"
"209","Accipiter","Geothlypis","interactsWith"
"210","Accipiter","Geothlypis","eats"
"211","Accipiter","Geothlypis","preysOn"
"212","Accipiter","Glaucidium","interactsWith"
"213","Accipiter","Glaucidium","eats"
"214","Accipiter","Gymnorhinus","interactsWith"
"215","Accipiter","Haliaeetus","eatenBy"
"216","Accipiter","Hesperiphona","eats"
"217","Accipiter","Hirundo","interactsWith"
"218","Accipiter","Hirundo","eats"
"219","Accipiter","Icterus","interactsWith"
"220","Accipiter","Icterus","eats"
"221","Accipiter","Junco","eats"
"222","Accipiter","Junco","preysOn"
"223","Accipiter","Junco","interactsWith"
"224","Accipiter","Lanius","eats"
"225","Accipiter","Loxia","interactsWith"
"226","Accipiter","Loxia","eats"
"227","Accipiter","Melanerpes","interactsWith"
"228","Accipiter","Melanerpes","eats"
"229","Accipiter","Melanerpes","preysOn"
"230","Accipiter","Meleagris","eats"
"231","Accipiter","Meleagris","interactsWith"
"232","Accipiter","Melospiza","interactsWith"
"233","Accipiter","Melospiza","eats"
"234","Accipiter","Mimus","eats"
"235","Accipiter","Mimus","preysOn"
"236","Accipiter","Mimus","interactsWith"
"237","Accipiter","Mniotilta","interactsWith"
"238","Accipiter","Molothrus","eats"
"239","Accipiter","Myadestes","eats"
"240","Accipiter","Myiarchus","eats"
"241","Accipiter","Myiarchus","interactsWith"
"242","Accipiter","Nucifraga","interactsWith"
"243","Accipiter","Nucifraga","eats"
"244","Accipiter","Oreortyx","eats"
"245","Accipiter","Otus","eats"
"246","Accipiter","Parula","interactsWith"
"247","Accipiter","Parus","interactsWith"
"248","Accipiter","Parus","preysOn"
"249","Accipiter","Parus","eats"
"250","Accipiter","Passer","interactsWith"
"251","Accipiter","Passer","eats"
"252","Accipiter","Passer","preysOn"
"253","Accipiter","Passerculus","eats"
"254","Accipiter","Passerella","eats"
"255","Accipiter","Perdix","eats"
"256","Accipiter","Perdix","preysOn"
"257","Accipiter","Perisoreus","eats"
"258","Accipiter","Phasianus","interactsWith"
"259","Accipiter","Phasianus","eats"
"260","Accipiter","Pheucticus","interactsWith"
"261","Accipiter","Pheucticus","eats"
"262","Accipiter","Pica","interactsWith"
"263","Accipiter","Pica","eats"
"264","Accipiter","Pica","preysOn"
"265","Accipiter","Picoides","interactsWith"
"266","Accipiter","Picoides","eats"
"267","Accipiter","Picoides","preysOn"
"268","Accipiter","Pinicola","eats"
"269","Accipiter","Pipilo","interactsWith"
"270","Accipiter","Pipilo","eats"
"271","Accipiter","Piranga","interactsWith"
"272","Accipiter","Piranga","eats"
"273","Accipiter","Pooecetes","eats"
"274","Accipiter","Progne","eats"
"275","Accipiter","Psaltriparus","eats"
"276","Accipiter","Pyrocephalus","eats"
"277","Accipiter","Quiscalus","interactsWith"
"278","Accipiter","Quiscalus","eats"
"279","Accipiter","Quiscalus","preysOn"
"280","Accipiter","Regulus","eats"
"281","Accipiter","Riparia","eats"
"282","Accipiter","Salpinctes","eats"
"283","Accipiter","Sayornis","eats"
"284","Accipiter","Seiurus","interactsWith"
"285","Accipiter","Seiurus","eats"
"286","Accipiter","Selasphorus","eats"
"287","Accipiter","Setophaga","interactsWith"
"288","Accipiter","Setophaga","eats"
"289","Accipiter","Setophaga","preysOn"
"290","Accipiter","Sialia","interactsWith"
"291","Accipiter","Sialia","eats"
"292","Accipiter","Sitta","interactsWith"
"293","Accipiter","Sitta","eats"
"294","Accipiter","Sphyrapicus","eats"
"295","Accipiter","Spizella","interactsWith"
"296","Accipiter","Spizella","eats"
"297","Accipiter","Streptopelia","eats"
"298","Accipiter","Streptopelia","preysOn"
"299","Accipiter","Streptopelia","interactsWith"
"300","Accipiter","Strix","interactsWith"
"301","Accipiter","Strix","eatenBy"
"302","Accipiter","Strix","eats"
"303","Accipiter","Strix","preyedUponBy"
"304","Accipiter","Sturnella","eats"
"305","Accipiter","Sturnus","interactsWith"
"306","Accipiter","Sturnus","eats"
"307","Accipiter","Sturnus","preysOn"
"308","Accipiter","Tachycineta","interactsWith"
"309","Accipiter","Tachycineta","eats"
"310","Accipiter","Thryomanes","eats"
"311","Accipiter","Thryomanes","preysOn"
"312","Accipiter","Thryothorus","interactsWith"
"313","Accipiter","Thryothorus","eats"
"314","Accipiter","Toxostoma","interactsWith"
"315","Accipiter","Toxostoma","eats"
"316","Accipiter","Toxostoma","preysOn"
"317","Accipiter","Troglodytes","interactsWith"
"318","Accipiter","Troglodytes","preysOn"
"319","Accipiter","Troglodytes","eats"
"320","Accipiter","Turdus","interactsWith"
"321","Accipiter","Turdus","eats"
"322","Accipiter","Turdus","preysOn"
"323","Accipiter","Tyrannus","interactsWith"
"324","Accipiter","Tyrannus","eats"
"325","Accipiter","Vireo","interactsWith"
"326","Accipiter","Vireo","eats"
"327","Accipiter","Vireo","preysOn"
"328","Accipiter","Zenaida","eats"
"329","Accipiter","Zenaida","preysOn"
"330","Accipiter","Zenaida","preyedUponBy"
"331","Accipiter","Zonotrichia","interactsWith"
"332","Accipiter","Zonotrichia","eats"
"333","Accipiter","Zonotrichia","preysOn"
"334","Accipiter","Zoothera","eats"
"335","Aeronautes","Falco","eatenBy"
"336","Aeronautes","Falco","preyedUponBy"
"337","Agelaius","Asio","eatenBy"
"338","Agelaius","Bubo","eatenBy"
"339","Agelaius","Buteo","interactsWith"
"340","Agelaius","Buteo","eatenBy"
"341","Agelaius","Buteo","preysOn"
"342","Agelaius","Buteo","preyedUponBy"
"343","Agelaius","Circus","interactsWith"
"344","Agelaius","Cistothorus","eatenBy"
"345","Agelaius","Cistothorus","interactsWith"
"346","Agelaius","Corvus","interactsWith"
"347","Agelaius","Corvus","eatenBy"
"348","Agelaius","Dolichonyx","interactsWith"
"349","Agelaius","Falco","eatenBy"
"350","Agelaius","Glaucidium","preyedUponBy"
"351","Agelaius","Haliaeetus","eatenBy"
"352","Agelaius","Melanerpes","interactsWith"
"353","Agelaius","Molothrus","hostOf"
"354","Agelaius","Molothrus","interactsWith"
"355","Agelaius","Molothrus","hasParasite"
"356","Agelaius","Pica","eatenBy"
"357","Agelaius","Pica","interactsWith"
"358","Agelaius","Quiscalus","interactsWith"
"359","Agelaius","Seiurus","parasiteOf"
"360","Agelaius","Seiurus","endoparasiteOf"
"361","Agelaius","Strix","eatenBy"
"362","Agelaius","Sturnus","interactsWith"
"363","Agelaius","Xanthocephalus","interactsWith"
"364","Aimophila","Aphelocoma","interactsWith"
"365","Aimophila","Carduelis","eats"
"366","Aimophila","Elanus","interactsWith"
"367","Aimophila","Falco","interactsWith"
"368","Aimophila","Molothrus","interactsWith"
"369","Aimophila","Picoides","interactsWith"
"370","Aimophila","Spizella","interactsWith"
"371","Ammodramus","Asio","interactsWith"
"372","Ammodramus","Circus","interactsWith"
"373","Ammodramus","Corvus","interactsWith"
"374","Ammodramus","Falco","eatenBy"
"375","Ammodramus","Lanius","interactsWith"
"376","Ammodramus","Lanius","preyedUponBy"
"377","Ammodramus","Lanius","kills"
"378","Ammodramus","Molothrus","interactsWith"
"379","Ammodramus","Spizella","interactsWith"
"380","Amphispiza","Falco","eatenBy"
"381","Amphispiza","Falco","interactsWith"
"382","Amphispiza","Geococcyx","interactsWith"
"383","Amphispiza","Molothrus","hostOf"
"384","Amphispiza","Phainopepla","interactsWith"
"385","Anthus","Aquila","eatenBy"
"386","Anthus","Aquila","preyedUponBy"
"387","Anthus","Asio","eatenBy"
"388","Anthus","Bubo","eatenBy"
"389","Anthus","Bubulcus","eatenBy"
"390","Anthus","Buteo","eatenBy"
"391","Anthus","Circus","eatenBy"
"392","Anthus","Circus","interactsWith"
"393","Anthus","Corvus","eatenBy"
"394","Anthus","Elanus","eatenBy"
"395","Anthus","Falco","interactsWith"
"396","Anthus","Falco","eatenBy"
"397","Anthus","Falco","preyedUponBy"
"398","Anthus","Lanius","eatenBy"
"399","Anthus","Molothrus","interactsWith"
"400","Anthus","Otus","eatenBy"
"401","Anthus","Pica","eatenBy"
"402","Anthus","Strix","eatenBy"
"403","Anthus","Sturnus","eatenBy"
"404","Anthus","Turdus","eatenBy"
"405","Aphelocoma","Aquila","eatenBy"
"406","Aphelocoma","Auriparus","eats"
"407","Aphelocoma","Auriparus","interactsWith"
"408","Aphelocoma","Bubo","eatenBy"
"409","Aphelocoma","Bubo","interactsWith"
"410","Aphelocoma","Buteo","eatenBy"
"411","Aphelocoma","Buteo","interactsWith"
"412","Aphelocoma","Buteo","preyedUponBy"
"413","Aphelocoma","Calypte","interactsWith"
"414","Aphelocoma","Calypte","preysOn"
"415","Aphelocoma","Carpodacus","interactsWith"
"416","Aphelocoma","Circus","interactsWith"
"417","Aphelocoma","Colaptes","interactsWith"
"418","Aphelocoma","Corvus","interactsWith"
"419","Aphelocoma","Empidonax","interactsWith"
"420","Aphelocoma","Falco","interactsWith"
"421","Aphelocoma","Mimus","interactsWith"
"422","Aphelocoma","Pheucticus","interactsWith"
"423","Aphelocoma","Pica","interactsWith"
"424","Aphelocoma","Piranga","interactsWith"
"425","Aphelocoma","Vireo","interactsWith"
"426","Aquila","Asio","eats"
"427","Aquila","Asio","interactsWith"
"428","Aquila","Bonasa","eats"
"429","Aquila","Bubo","eats"
"430","Aquila","Bubo","interactsWith"
"431","Aquila","Bubo","preysOn"
"432","Aquila","Bubulcus","interactsWith"
"433","Aquila","Bubulcus","eats"
"434","Aquila","Buteo","eats"
"435","Aquila","Buteo","interactsWith"
"436","Aquila","Calcarius","eats"
"437","Aquila","Callipepla","eats"
"438","Aquila","Callipepla","interactsWith"
"439","Aquila","Cathartes","eats"
"440","Aquila","Centrocercus","eats"
"441","Aquila","Chondestes","eats"
"442","Aquila","Chordeiles","eats"
"443","Aquila","Circus","eats"
"444","Aquila","Circus","preysOn"
"445","Aquila","Circus","interactsWith"
"446","Aquila","Colaptes","eats"
"447","Aquila","Columba","eats"
"448","Aquila","Columba","preysOn"
"449","Aquila","Columba","interactsWith"
"450","Aquila","Corvus","interactsWith"
"451","Aquila","Corvus","eats"
"452","Aquila","Corvus","eatenBy"
"453","Aquila","Corvus","preysOn"
"454","Aquila","Cyanocitta","eats"
"455","Aquila","Dendragapus","eats"
"456","Aquila","Elanus","interactsWith"
"457","Aquila","Elanus","eats"
"458","Aquila","Eremophila","eats"
"459","Aquila","Falco","eats"
"460","Aquila","Falco","preysOn"
"461","Aquila","Falco","interactsWith"
"462","Aquila","Geococcyx","eats"
"463","Aquila","Haliaeetus","interactsWith"
"464","Aquila","Lanius","eats"
"465","Aquila","Melanerpes","eats"
"466","Aquila","Meleagris","preysOn"
"467","Aquila","Meleagris","interactsWith"
"468","Aquila","Molothrus","eats"
"469","Aquila","Myadestes","eats"
"470","Aquila","Nucifraga","eats"
"471","Aquila","Nucifraga","interactsWith"
"472","Aquila","Passer","eats"
"473","Aquila","Perdix","eats"
"474","Aquila","Perisoreus","eats"
"475","Aquila","Phasianus","eats"
"476","Aquila","Pica","eats"
"477","Aquila","Picoides","eats"
"478","Aquila","Sialia","eats"
"479","Aquila","Streptopelia","eats"
"480","Aquila","Strix","interactsWith"
"481","Aquila","Sturnella","eats"
"482","Aquila","Sturnus","eats"
"483","Aquila","Turdus","eats"
"484","Aquila","Tympanuchus","eats"
"485","Aquila","Zenaida","eats"
"486","Aquila","Zonotrichia","eats"
"487","Archilochus","Carpodacus","interactsWith"
"488","Archilochus","Carpodacus","visitsFlowersOf"
"489","Archilochus","Cyanocitta","interactsWith"
"490","Archilochus","Lanius","interactsWith"
"491","Archilochus","Lanius","preyedUponBy"
"492","Archilochus","Picoides","interactsWith"
"493","Arremonops","Molothrus","interactsWith"
"494","Asio","Baeolophus","eats"
"495","Asio","Bombycilla","eats"
"496","Asio","Bubo","interactsWith"
"497","Asio","Bubo","eatenBy"
"498","Asio","Buteo","interactsWith"
"499","Asio","Buteo","eatenBy"
"500","Asio","Calcarius","eats"
"501","Asio","Cardinalis","interactsWith"
"502","Asio","Cardinalis","eats"
"503","Asio","Carduelis","eats"
"504","Asio","Carduelis","preysOn"
"505","Asio","Carpodacus","eats"
"506","Asio","Catharus","eats"
"507","Asio","Certhia","eats"
"508","Asio","Circus","interactsWith"
"509","Asio","Circus","eatenBy"
"510","Asio","Colaptes","eats"
"511","Asio","Columba","interactsWith"
"512","Asio","Columba","eats"
"513","Asio","Corvus","interactsWith"
"514","Asio","Corvus","eatenBy"
"515","Asio","Cyanocitta","eats"
"516","Asio","Dumetella","interactsWith"
"517","Asio","Dumetella","eats"
"518","Asio","Eremophila","eats"
"519","Asio","Falco","interactsWith"
"520","Asio","Falco","eatenBy"
"521","Asio","Haliaeetus","eatenBy"
"522","Asio","Haliaeetus","interactsWith"
"523","Asio","Hesperiphona","eats"
"524","Asio","Hirundo","eats"
"525","Asio","Hirundo","interactsWith"
"526","Asio","Icterus","interactsWith"
"527","Asio","Icterus","eats"
"528","Asio","Junco","eats"
"529","Asio","Lanius","eats"
"530","Asio","Loxia","eats"
"531","Asio","Melanerpes","interactsWith"
"532","Asio","Melospiza","eats"
"533","Asio","Mimus","interactsWith"
"534","Asio","Molothrus","eats"
"535","Asio","Molothrus","interactsWith"
"536","Asio","Myiarchus","eats"
"537","Asio","Otus","interactsWith"
"538","Asio","Parus","eats"
"539","Asio","Passer","eats"
"540","Asio","Passer","interactsWith"
"541","Asio","Passer","preysOn"
"542","Asio","Passerculus","eats"
"543","Asio","Passerella","eats"
"544","Asio","Perisoreus","hasHost"
"545","Asio","Pheucticus","eats"
