"","genus_1","genus_2","char"
"1","Artemisia","Verbena","interactsWith"
"2","Artemisia","Vicia","interactsWith"
"3","Artemisia","Viola","interactsWith"
"4","Androsace","Artemisia","interactsWith"
"5","Artemisia","Cornus","interactsWith"
"6","Artemisia","Draba","interactsWith"
"7","Artemisia","Pascopyrum","interactsWith"
"8","Artemisia","Scutellaria","interactsWith"
"9","Artemisia","Setaria","interactsWith"
"10","Artemisia","Celtis","interactsWith"
"11","Artemisia","Juncus","interactsWith"
"12","Artemisia","Polygonum","interactsWith"
"13","Artemisia","Geum","interactsWith"
"14","Artemisia","Vulpia","interactsWith"
"15","Artemisia","Helianthus","interactsWith"
"16","Artemisia","Prunus","interactsWith"
"17","Artemisia","Rubus","interactsWith"
"18","Artemisia","Torilis","interactsWith"
"19","Artemisia","Toxicodendron","interactsWith"
"20","Artemisia","Polygala","interactsWith"
"21","Artemisia","Rumex","interactsWith"
"22","Artemisia","Cercis","interactsWith"
"23","Artemisia","Medicago","interactsWith"
"24","Asclepias","Astragalus","interactsWith"
"25","Asclepias","Bouteloua","interactsWith"
"26","Asclepias","Bromus","interactsWith"
"27","Asclepias","Calystegia","interactsWith"
"28","Asclepias","Carex","interactsWith"
"29","Asclepias","Ceanothus","interactsWith"
"30","Asclepias","Chamaesyce","interactsWith"
"31","Asclepias","Cirsium","interactsWith"
"32","Asclepias","Delphinium","interactsWith"
"33","Asclepias","Eleocharis","interactsWith"
"34","Asclepias","Elymus","interactsWith"
"35","Asclepias","Erigeron","interactsWith"
"36","Asclepias","Euphorbia","interactsWith"
"37","Asclepias","Lomatium","interactsWith"
"38","Asclepias","Mimosa","interactsWith"
"39","Asclepias","Plantago","interactsWith"
"40","Asclepias","Poa","interactsWith"
"41","Asclepias","Psoralea","interactsWith"
"42","Asclepias","Rhus","interactsWith"
"43","Asclepias","Rosa","interactsWith"
"44","Asclepias","Schizachyrium","interactsWith"
"45","Asclepias","Silene","interactsWith"
"46","Asclepias","Solidago","interactsWith"
"47","Asclepias","Sorghastrum","interactsWith"
"48","Asclepias","Teucrium","interactsWith"
"49","Asclepias","Verbena","interactsWith"
"50","Asclepias","Vernonia","interactsWith"
"51","Asclepias","Cornus","interactsWith"
"52","Asclepias","Juncus","interactsWith"
"53","Asclepias","Croton","interactsWith"
"54","Asclepias","Helianthus","adjacentTo"
"55","Asclepias","Grindelia","interactsWith"
"56","Asclepias","Toxicodendron","interactsWith"
"57","Asclepias","Polygala","interactsWith"
"58","Asclepias","Rumex","interactsWith"
"59","Astragalus","Bromus","interactsWith"
"60","Astragalus","Calystegia","interactsWith"
"61","Astragalus","Carex","interactsWith"
"62","Astragalus","Ceanothus","interactsWith"
"63","Astragalus","Delphinium","interactsWith"
"64","Astragalus","Echinacea","interactsWith"
"65","Astragalus","Eleocharis","interactsWith"
"66","Astragalus","Euphorbia","interactsWith"
"67","Astragalus","Geranium","interactsWith"
"68","Astragalus","Juniperus","interactsWith"
"69","Astragalus","Lomatium","interactsWith"
"70","Astragalus","Lomatium","adjacentTo"
"71","Astragalus","Packera","interactsWith"
"72","Astragalus","Pediomelum","interactsWith"
"73","Astragalus","Penstemon","interactsWith"
"74","Astragalus","Physalis","hostOf"
"75","Astragalus","Plantago","interactsWith"
"76","Astragalus","Rosa","interactsWith"
"77","Astragalus","Silene","interactsWith"
"78","Astragalus","Sisyrinchium","interactsWith"
"79","Astragalus","Symphoricarpos","interactsWith"
"80","Astragalus","Symphyotrichum","interactsWith"
"81","Astragalus","Cornus","interactsWith"
"82","Astragalus","Draba","interactsWith"
"83","Astragalus","Pascopyrum","interactsWith"
"84","Astragalus","Juncus","interactsWith"
"85","Astragalus","Polygonum","interactsWith"
"86","Astragalus","Vulpia","interactsWith"
"87","Astragalus","Prunus","interactsWith"
"88","Astragalus","Rubus","interactsWith"
"89","Astragalus","Grindelia","interactsWith"
"90","Astragalus","Rumex","interactsWith"
"91","Astragalus","Medicago","interactsWith"
"92","Baptisia","Silphium","interactsWith"
"93","Bouteloua","Bromus","interactsWith"
"94","Bouteloua","Buchloe","interactsWith"
"95","Bouteloua","Buchloe","hasHost"
"96","Bouteloua","Carex","interactsWith"
"97","Bouteloua","Cirsium","interactsWith"
"98","Bouteloua","Dichanthelium","interactsWith"
"99","Bouteloua","Digitaria","interactsWith"
"100","Bouteloua","Eragrostis","interactsWith"
"101","Bouteloua","Euphorbia","interactsWith"
"102","Bouteloua","Juniperus","interactsWith"
"103","Bouteloua","Lespedeza","interactsWith"
"104","Bouteloua","Linum","interactsWith"
"105","Bouteloua","Lithospermum","interactsWith"
"106","Bouteloua","Mimosa","interactsWith"
"107","Bouteloua","Oenothera","interactsWith"
"108","Bouteloua","Oligoneuron","interactsWith"
"109","Bouteloua","Panicum","interactsWith"
"110","Bouteloua","Pediomelum","interactsWith"
"111","Bouteloua","Penstemon","interactsWith"
"112","Bouteloua","Plantago","interactsWith"
"113","Bouteloua","Ratibida","interactsWith"
"114","Bouteloua","Salvia","interactsWith"
"115","Bouteloua","Schizachyrium","interactsWith"
"116","Bouteloua","Solidago","interactsWith"
